VEHICLES (k)	6				
MAXCAPACITY (Q)	150				
MAXDURATION (T)	200				
					
DEPOT	x	y			
	23.142	11.736			
					
CUSTOMERS (n)	336				
					
CUSTOMERDATA					
ID	x	y	Demand	Service Time	Profit
1	74.116	71.636	3	11	1
2	-26.902	-6.824	4	7	3
3	-80.364	14.724	22	14	23
4	24.918	75.815	19	7	13
5	43.53	54.191	19	16	21
6	23.046	86.77	14	16	8
7	-1.62	-14.184	16	18	21
8	-12.852	-26.311	24	20	18
9	-47.641	-36.762	15	18	9
10	47.149	96.666	18	19	21
11	-38.534	-20.204	19	15	13
12	-4.924	-31.081	1	12	1
13	-55.299	-18.199	11	8	8
14	0.123	-19.338	17	5	25
15	68.518	15.353	22	19	28
16	64.626	64.153	4	19	3
17	2.412	43.518	12	5	17
18	7.076	96.73	10	19	10
19	-38.11	-84.075	7	5	3
20	-22.514	-47.536	25	17	23
21	86.98	42.128	18	14	24
22	-37.934	-56.334	17	12	17
23	-28.094	-47.17	6	21	8
24	44.873	-6.154	8	9	4
25	-60.584	20.581	5	22	5
26	71.413	-11.118	25	17	29
27	-37.078	-23.308	22	7	16
28	70.371	67.892	16	11	13
29	2.224	42.759	12	4	13
30	63.801	1.338	3	9	3
31	19.184	52.434	23	12	29
32	45.941	43.437	8	6	10
33	-19.267	24.078	22	25	21
34	71.238	72.603	20	22	21
35	-51.658	-40.543	5	5	5
36	10.749	62.779	20	16	26
37	-86.686	-51.597	12	7	16
38	45.243	14.526	1	14	1
39	57.104	34.489	22	15	22
40	31.647	60.603	6	21	8
41	-18.111	-21.087	22	24	11
42	-39.345	-3.132	13	16	15
43	49.508	-6.548	25	20	32
44	27.922	-11.594	7	9	8
45	48.523	18.871	2	15	1
46	53.732	34.388	16	9	22
47	88.551	10.995	24	5	20
48	10.743	-1.72	7	25	9
49	70.986	-14.954	17	18	10
50	48.942	76.05	19	22	15
51	65.182	-28.78	24	9	27
52	-35.076	-43.014	2	17	2
53	32.871	88.257	20	7	28
54	95.777	96.611	23	10	33
55	51.527	67.847	7	18	6
56	-83.158	35.811	22	12	31
57	64.014	47.072	15	6	9
58	-33.299	-47.412	20	15	21
59	-3.359	-24.329	24	16	25
60	26.012	36.694	7	25	7
61	82.102	20.187	7	12	10
62	11.236	4.215	8	12	7
63	34.087	30.183	8	7	4
64	39.664	-15.029	13	14	15
65	-46.464	-49.826	24	8	24
66	-30.751	-25.541	4	25	5
67	43.85	24.759	7	7	6
68	30.697	-23.814	9	13	12
69	28.996	-0.626	18	19	25
70	58.432	9.262	5	5	6
71	35.603	34.342	2	10	1
72	-37.506	-17.819	25	6	18
73	8.404	42.515	17	20	17
74	58.243	-28.287	4	20	3
75	7.064	72.506	7	11	6
76	13.362	-3.536	9	17	11
77	34.23	-7.73	6	5	7
78	14.154	6.733	3	1	3
79	74.451	62.102	23	5	19
80	-17.348	-23.038	9	17	12
81	50.468	-35.103	15	10	8
82	24.011	21.067	24	23	28
83	67.076	18.401	6	9	5
84	73.5	-28.858	9	8	4
85	-17.344	-33.489	13	15	7
86	-1.726	-29.615	16	22	15
87	87.527	-33.195	23	1	25
88	29.903	79.654	15	1	21
89	98.731	-1.188	2	25	1
90	-51.817	-9.018	1	10	1
91	82.737	16.943	23	14	18
92	31.872	-16.121	2	8	2
93	-5.102	60.341	24	13	20
94	40.803	42.073	1	18	1
95	78.694	97.047	1	8	1
96	26.229	55.982	7	3	3
97	25.23	45.737	21	8	20
98	-26.453	-51.75	15	5	21
99	32.285	12.931	3	1	1
100	24.062	71.244	15	16	22
101	51.137	-51.066	10	15	11
102	-60.207	-34.08	24	13	25
103	79.718	-10.511	12	1	16
104	-50.938	-42.892	24	10	17
105	66.298	63.052	18	6	17
106	-9.624	-79.001	5	3	2
107	35.879	15.713	11	8	7
108	-33.793	-24.991	7	13	4
109	49.067	16.524	2	21	2
110	35.737	48.047	3	1	2
111	5.757	-10.324	15	23	9
112	88.792	65.56	6	3	3
113	52.64	-95.198	23	7	18
114	64.877	-43.21	13	22	10
115	42.986	50.747	20	3	23
116	16.946	26.995	13	6	14
117	20.428	27.281	6	17	9
118	-46.8	-50.498	12	2	6
119	32.454	45.158	3	6	3
120	-46.364	12.902	7	13	7
121	67.751	35.149	1	1	1
122	6.861	-80.554	1	20	1
123	41.896	50.098	25	9	30
124	31.98	-16.133	14	5	19
125	44.078	20.989	4	10	4
126	-91.221	-73.061	2	1	1
127	52.433	0.643	11	14	8
128	18.553	6.847	21	11	27
129	53.297	0.821	18	10	10
130	-42.16	-39.235	23	16	15
131	56.07	-11.35	20	5	24
132	61.54	-12.405	11	7	9
133	19.631	19.624	25	21	16
134	-37.97	0.26	3	1	3
135	35.279	20.598	9	10	11
136	-91.303	-69.909	11	6	13
137	74.622	-21.879	21	2	23
138	-77.859	38.136	20	4	17
139	54.505	26.777	8	23	8
140	37.819	78.89	9	17	9
141	28.213	54.032	6	8	7
142	-39.719	-49.408	23	21	33
143	42.009	-7.094	21	19	19
144	11.68	-37.481	12	18	9
145	-0.835	44.755	23	17	33
146	76.886	-4.668	8	12	6
147	6.595	-81.923	20	21	10
148	-70.244	3.675	9	3	9
149	27.849	51.452	1	2	1
150	-25.31	-19.334	7	24	6
151	21.606	-19.379	9	19	5
152	13.433	47.486	9	2	5
153	26.419	87.569	21	1	11
154	31.397	59.898	19	1	11
155	25.041	44.894	21	18	17
156	-43.414	-84.066	8	19	7
157	19.651	-85.678	23	23	33
158	77.826	72.339	19	9	19
159	46.793	0.98	12	2	10
160	36.549	41.315	12	25	17
161	74.116	-45.151	9	12	7
162	19.248	59.821	10	13	8
163	9.47	-15.92	25	12	24
164	-25.917	-25.453	8	12	10
165	40.443	-18.948	17	4	18
166	52.505	4.352	11	13	16
167	-60.549	26.49	8	14	4
168	-6.575	5.367	13	7	18
169	62.719	28.365	21	7	28
170	36.781	25.784	4	19	4
171	-49.656	-8.698	9	21	5
172	61.848	21.323	10	15	10
173	70.567	12.121	17	19	25
174	8.868	-34.093	7	2	7
175	42.946	38.96	3	12	3
176	49.563	-30.459	14	1	20
177	3.15	-67.004	8	23	10
178	-27.945	-7.618	15	19	15
179	-19.891	-47.352	22	25	22
180	40.282	7.556	21	6	13
181	10.939	-21.738	8	13	8
182	9.033	-34.15	10	19	5
183	45.878	-17.384	10	22	12
184	-13.786	-15.025	20	11	23
185	63.062	-14.825	3	24	3
186	-20.085	-66.097	17	14	16
187	34.233	-17.52	10	11	8
188	54.974	33.142	20	10	22
189	-4.928	37.472	13	14	13
190	3.937	-84.76	13	23	7
191	32.103	4.387	2	18	1
192	-23.28	-26.193	4	18	2
193	11.325	50.516	23	11	12
194	-27.814	-46.179	24	14	31
195	37.873	-5.88	12	11	12
196	-47.891	-20.578	18	1	13
197	56.606	-26.439	25	2	32
198	44.66	-11.75	22	10	26
199	-4.711	63.976	10	3	11
200	-1.097	-48.237	21	4	19
201	27.764	55.513	19	12	9
202	-23.284	-16.403	7	2	9
203	-4.744	-27.779	4	19	3
204	33.897	2.659	23	7	31
205	36.84	-29.991	20	9	24
206	32.959	31.274	12	19	12
207	54.384	8.004	22	25	17
208	21.75	-59.387	6	6	6
209	58.347	-14.261	23	6	30
210	63.531	-11.362	2	23	1
211	45.679	32.254	13	11	17
212	94.78	66.392	24	1	15
213	-53.345	-31.739	17	10	11
214	45.927	-32.38	15	4	14
215	43.681	0.178	1	14	1
216	56.123	-3.636	24	14	26
217	71.533	14.638	23	20	13
218	-17.501	-48.846	18	2	12
